# Filename: trend.1_1960_2014_1_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 tas        1     0.21166     0.19496    -0.43512      1.0829       2592
# Filename: trend.1_1960_2014_2_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 tas        1     0.19647     0.20311     -0.1972     0.89498       2592
# Filename: trend.1_1960_2014_3_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 tas        1     0.22771     0.19378    -0.21927     0.82343       2592
# Filename: trend.1_1960_2014_4_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 tas        1     0.21019     0.22781    -0.53462     0.88739       2592
# Filename: trend.1_1960_2014_5_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 tas        1        -nan        -nan    -0.51583     0.85158       2592
# Filename: trend.1_1960_2014_6_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 tas        1        -nan        -nan    -0.57584      1.0858       2592
# Filename: trend.1_1960_2014_7_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 tas        1        -nan        -nan    -0.46591     0.58495       2592
# Filename: trend.1_1960_2014_8_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 tas        1        -nan        -nan    -0.73472      1.1777       2592
# Filename: trend.1_1960_2014_9_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 tas        1        -nan        -nan    -0.47395      0.6562       2592
# Filename: trend.1_1960_2014_10_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 tas        1        -nan        -nan    -0.81202     0.98532       2592
# Filename: trend.1_1960_2014_11_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 tas        1        -nan        -nan    -0.47929      2.3742       2592
# Filename: trend.1_1960_2014_12_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 tas        1     0.18829     0.16072    -0.15538     0.70079       2592
# Filename: trend.1_1960_2014_030405_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 trend      1     0.20771     0.18571    -0.19469     0.79407       2592
# Filename: trend.1_1960_2014_060708_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 trend      1        -nan        -nan     -74.889        1.29       2592
# Filename: trend.1_1960_2014_091011_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 trend      1        -nan        -nan    -0.41102     0.96646       2592
# Filename: trend.1_1960_2014_120102_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 trend      1     0.20271     0.17965     -0.1273     0.83645       2592
# Filename: trend.2_1960_2014_1_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
