# Filename: MIROC6_trend.1_1960_2014_1_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 T2,tas_mean   1     0.15758     0.23714    -0.57879      1.9648       2592
# Filename: MIROC6_trend.1_1960_2014_2_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 T2,tas_mean   1     0.16002     0.21461    -0.41646      2.0866       2592
# Filename: MIROC6_trend.1_1960_2014_3_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 T2,tas_mean   1     0.16835     0.21102     -0.3367      2.0361       2592
# Filename: MIROC6_trend.1_1960_2014_4_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 T2,tas_mean   1     0.13461      0.2009     -2.5414      1.8597       2592
# Filename: MIROC6_trend.1_1960_2014_5_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 T2,tas_mean   1        -nan        -nan    -0.68593     0.94998       2592
# Filename: MIROC6_trend.1_1960_2014_6_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 T2,tas_mean   1        -nan        -nan    -0.55221     0.69189       2592
# Filename: MIROC6_trend.1_1960_2014_7_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 T2,tas_mean   1        -nan        -nan    -0.77307      1.4742       2592
# Filename: MIROC6_trend.1_1960_2014_8_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 T2,tas_mean   1        -nan        -nan    -0.40601      6.8566       2592
# Filename: MIROC6_trend.1_1960_2014_9_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 T2,tas_mean   1        -nan        -nan    -0.79546     0.68256       2592
# Filename: MIROC6_trend.1_1960_2014_10_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 T2,tas_mean   1        -nan        -nan     -0.4516      1.4556       2592
# Filename: MIROC6_trend.1_1960_2014_11_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 T2,tas_mean   1        -nan        -nan    -0.63574      1.4877       2592
# Filename: MIROC6_trend.1_1960_2014_12_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 T2,tas_mean   1      0.1704     0.19383    -0.23395      1.5105       2592
# Filename: MIROC6_trend.1_1960_2014_030405_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 trend      1     0.14727     0.16122     -0.3211      1.6141       2592
# Filename: MIROC6_trend.1_1960_2014_060708_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 trend      1        -nan        -nan    -0.44942      60.923       2592
# Filename: MIROC6_trend.1_1960_2014_091011_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 trend      1        -nan        -nan    -0.63574      1.0548       2592
# Filename: MIROC6_trend.1_1960_2014_120102_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 trend      1     0.16636      0.1969    -0.25284      1.9468       2592
# Filename: MIROC6_trend.2_1960_2014_1_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 T2,tas_mean   1     0.12796     0.22677     -1.1884      2.0972       2592
# Filename: MIROC6_trend.2_1960_2014_2_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 T2,tas_mean   1     0.13036     0.20878    -0.53271      2.3331       2592
# Filename: MIROC6_trend.2_1960_2014_3_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 T2,tas_mean   1     0.15543     0.19503    -0.45966      1.6754       2592
# Filename: MIROC6_trend.2_1960_2014_4_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 T2,tas_mean   1     0.13099     0.21836    -0.46243       1.991       2592
# Filename: MIROC6_trend.2_1960_2014_5_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 T2,tas_mean   1        -nan        -nan     -0.4811     0.85691       2592
# Filename: MIROC6_trend.2_1960_2014_6_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
